id,institutionName,city,state,website
bishop-state-community-college-al,Bishop State Community College,,AL,
calhoun-community-college-al,Calhoun Community College,,AL,
central-alabama-community-college-al,Central Alabama Community College,,AL,
coastal-alabama-community-college-al,Coastal Alabama Community College,,AL,
gadsden-state-community-college-al,Gadsden State Community College,,AL,
jefferson-state-community-college-al,Jefferson State Community College,,AL,
lawson-state-community-college-al,Lawson State Community College,,AL,
lurleen-b-wallace-community-college-al,Lurleen B. Wallace Community College,,AL,
northeast-alabama-community-college-al,Northeast Alabama Community College,,AL,
reid-state-technical-college-al,Reid State Technical College,,AL,
shelton-state-community-college-al,Shelton State Community College,,AL,
snead-state-community-college-al,Snead State Community College,,AL,
southern-union-state-community-college-al,Southern Union State Community College,,AL,
wallace-state-community-college-al,Wallace State Community College,,AL,
arkansas-state-university-newport-ar,Arkansas State University - Newport,,AR,
arkansas-state-university-three-rivers-ar,Arkansas State University - Three Rivers,,AR,
national-park-college-ar,National Park College,,AR,
north-arkansas-college-ar,North Arkansas College,,AR,
northwest-arkansas-community-college-ar,Northwest Arkansas Community College,,AR,
south-arkansas-community-college-ar,South Arkansas Community College,,AR,
southeast-arkansas-college-ar,Southeast Arkansas College,,AR,
university-of-arkansas-rich-mountain-ar,University of Arkansas Rich Mountain,,AR,
central-arizona-college-az,Central Arizona College,,AZ,
cochise-college-az,Cochise College,,AZ,
eastern-arizona-college-az,Eastern Arizona College,,AZ,
glendale-community-college-az,Glendale Community College,,AZ,
mesa-community-college-az,Mesa Community College,,AZ,
mohave-community-college-az,Mohave Community College,,AZ,
pima-community-college-az,Pima Community College,,AZ,
yavapai-college-az,Yavapai College,,AZ,
allan-hancock-college-ca,Allan Hancock College,,CA,
american-river-college-ca,American River College,,CA,
antelope-valley-college-ca,Antelope Valley College,,CA,
bakersfield-college-ca,Bakersfield College,,CA,
barstow-community-college-ca,Barstow Community College,,CA,
berkeley-city-college-ca,Berkeley City College,,CA,
butte-college-ca,Butte College,,CA,
cabrillo-college-ca,Cabrillo College,,CA,
canada-college-ca,Canada College,,CA,
cerritos-college-ca,Cerritos College,,CA,
cerro-coso-community-college-ca,Cerro Coso Community College,,CA,
chabot-college-ca,Chabot College,,CA,
chaffey-college-ca,Chaffey College,,CA,
citrus-college-ca,Citrus College,,CA,
city-college-of-san-francisco-ca,City College of San Francisco,,CA,
clovis-community-college-ca,Clovis Community College,,CA,
coastline-community-college-ca,Coastline Community College,,CA,
college-of-alameda-ca,College of Alameda,,CA,
college-of-marin-ca,College of Marin,,CA,
college-of-san-mateo-ca,College of San Mateo,,CA,
college-of-the-canyons-ca,College of the Canyons,,CA,
college-of-the-desert-ca,College of the Desert,,CA,
college-of-the-redwoods-ca,College of the Redwoods,,CA,
college-of-the-sequoias-ca,College of the Sequoias,,CA,
college-of-the-siskiyous-ca,College of the Siskiyous,,CA,
columbia-college-ca,Columbia College,,CA,
compton-college-ca,Compton College,,CA,
contra-costa-college-ca,Contra Costa College,,CA,
cosumnes-river-college-ca,Cosumnes River College,,CA,
crafton-hills-college-ca,Crafton Hills College,,CA,
cuesta-college-ca,Cuesta College,,CA,
cuyamaca-college-ca,Cuyamaca College,,CA,
cypress-college-ca,Cypress College,,CA,
de-anza-college-ca,De Anza College,,CA,
diablo-valley-college-ca,Diablo Valley College,,CA,
east-los-angeles-college-ca,East Los Angeles College,,CA,
el-camino-college-ca,El Camino College,,CA,
evergreen-valley-college-ca,Evergreen Valley College,,CA,
feather-river-college-ca,Feather River College,,CA,
folsom-lake-college-ca,Folsom Lake College,,CA,
foothill-college-ca,Foothill College,,CA,
fresno-city-college-ca,Fresno City College,,CA,
fullerton-college-ca,Fullerton College,,CA,
gavilan-college-ca,Gavilan College,,CA,
glendale-community-college-ca,Glendale Community College,,CA,
golden-west-college-ca,Golden West College,,CA,
grossmont-college-ca,Grossmont College,,CA,
hartnell-college-ca,Hartnell College,,CA,
imperial-valley-college-ca,Imperial Valley College,,CA,
irvine-valley-college-ca,Irvine Valley College,,CA,
lake-tahoe-community-college-ca,Lake Tahoe Community College,,CA,
laney-college-ca,Laney College,,CA,
las-positas-college-ca,Las Positas College,,CA,
lassen-community-college-ca,Lassen Community College,,CA,
long-beach-city-college-ca,Long Beach City College,,CA,
los-angeles-city-college-ca,Los Angeles City College,,CA,
los-angeles-harbor-college-ca,Los Angeles Harbor College,,CA,
los-angeles-mission-college-ca,Los Angeles Mission College,,CA,
los-angeles-pierce-college-ca,Los Angeles Pierce College,,CA,
los-angeles-southwest-college-ca,Los Angeles Southwest College,,CA,
los-angeles-trade-technical-college-ca,Los Angeles Trade-Technical College,,CA,
los-angeles-valley-college-ca,Los Angeles Valley College,,CA,
los-medanos-college-ca,Los Medanos College,,CA,
mendocino-college-ca,Mendocino College,,CA,
merced-college-ca,Merced College,,CA,
merritt-college-ca,Merritt College,,CA,
miracosta-college-ca,MiraCosta College,,CA,
mission-college-ca,Mission College,,CA,
modesto-junior-college-ca,Modesto Junior College,,CA,
monterey-peninsula-college-ca,Monterey Peninsula College,,CA,
moorpark-college-ca,Moorpark College,,CA,
mt-san-antonio-college-ca,Mt. San Antonio College,,CA,
mt-san-jacinto-college-ca,Mt. San Jacinto College,,CA,
napa-valley-college-ca,Napa Valley College,,CA,
norco-college-ca,Norco College,,CA,
ohlone-college-ca,Ohlone College,,CA,
orange-coast-college-ca,Orange Coast College,,CA,
oxnard-college-ca,Oxnard College,,CA,
palo-verde-college-ca,Palo Verde College,,CA,
palomar-college-ca,Palomar College,,CA,
pasadena-city-college-ca,Pasadena City College,,CA,
porterville-college-ca,Porterville College,,CA,
reedley-college-ca,Reedley College,,CA,
rio-hondo-college-ca,Rio Hondo College,,CA,
riverside-city-college-ca,Riverside City College,,CA,
sacramento-city-college-ca,Sacramento City College,,CA,
saddleback-college-ca,Saddleback College,,CA,
san-bernardino-valley-college-ca,San Bernardino Valley College,,CA,
san-diego-city-college-ca,San Diego City College,,CA,
san-diego-mesa-college-ca,San Diego Mesa College,,CA,
san-diego-miramar-college-ca,San Diego Miramar College,,CA,
san-joaquin-delta-college-ca,San Joaquin Delta College,,CA,
san-jose-city-college-ca,San Jose City College,,CA,
santa-ana-college-ca,Santa Ana College,,CA,
santa-barbara-city-college-ca,Santa Barbara City College,,CA,
santa-monica-college-ca,Santa Monica College,,CA,
santa-rosa-junior-college-ca,Santa Rosa Junior College,,CA,
santiago-canyon-college-ca,Santiago Canyon College,,CA,
shasta-college-ca,Shasta College,,CA,
sierra-college-ca,Sierra College,,CA,
skyline-college-ca,Skyline College,,CA,
solano-community-college-ca,Solano Community College,,CA,
southwestern-college-ca,Southwestern College,,CA,
taft-college-ca,Taft College,,CA,
ventura-college-ca,Ventura College,,CA,
victor-valley-college-ca,Victor Valley College,,CA,
west-hills-college-coalinga-ca,West Hills College Coalinga,,CA,
west-hills-college-lemoore-ca,West Hills College Lemoore,,CA,
west-los-angeles-college-ca,West Los Angeles College,,CA,
west-valley-college-ca,West Valley College,,CA,
woodland-community-college-ca,Woodland Community College,,CA,
yuba-college-ca,Yuba College,,CA,
arapahoe-community-college-co,Arapahoe Community College,,CO,
colorado-mountain-college-co,Colorado Mountain College,,CO,
community-college-of-denver-co,Community College of Denver,,CO,
lamar-community-college-co,Lamar Community College,,CO,
northeastern-junior-college-co,Northeastern Junior College,,CO,
otero-college-co,Otero College,,CO,
pueblo-community-college-co,Pueblo Community College,,CO,
red-rocks-community-college-co,Red Rocks Community College,,CO,
trinidad-state-college-co,Trinidad State College,,CO,
delaware-technical-community-college-de,Delaware Technical Community College,,DE,
chipola-college-fl,Chipola College,,FL,
college-of-central-florida-fl,College of Central Florida,,FL,
daytona-state-college-fl,Daytona State College,,FL,
eastern-florida-state-college-fl,Eastern Florida State College,,FL,
florida-gateway-college-fl,Florida Gateway College,,FL,
florida-southwestern-state-college-fl,Florida SouthWestern State College,,FL,
florida-state-college-at-jacksonville-fl,Florida State College at Jacksonville,,FL,
gulf-coast-state-college-fl,Gulf Coast State College,,FL,
hillsborough-community-college-fl,Hillsborough Community College,,FL,
indian-river-state-college-fl,Indian River State College,,FL,
lake-sumter-state-college-fl,Lake-Sumter State College,,FL,
miami-dade-college-fl,Miami Dade College,,FL,
northwest-florida-state-college-fl,Northwest Florida State College,,FL,
palm-beach-state-college-fl,Palm Beach State College,,FL,
pasco-hernando-state-college-fl,Pasco-Hernando State College,,FL,
pensacola-state-college-fl,Pensacola State College,,FL,
polk-state-college-fl,Polk State College,,FL,
santa-fe-college-fl,Santa Fe College,,FL,
seminole-state-college-of-florida-fl,Seminole State College of Florida,,FL,
south-florida-state-college-fl,South Florida State College,,FL,
st-johns-river-state-college-fl,St. Johns River State College,,FL,
state-college-of-florida-bradenton-fl,State College of Florida,Bradenton,FL,https://www.scfmanatees.com/landing/index
state-college-of-florida-manatee-sarasota-fl,State College of Florida Manatee-Sarasota,,FL,
tallahassee-community-college-fl,Tallahassee Community College,,FL,
andrew-college-ga,Andrew College,,GA,
georgia-highlands-college-ga,Georgia Highlands College,,GA,
georgia-military-college-ga,Georgia Military College,,GA,
south-georgia-state-college-ga,South Georgia State College,,GA,
des-moines-area-community-college-ia,Des Moines Area Community College,Boone,IA,https://www.dmaccbears.com/sports/esports/index
ellsworth-community-college-ia,Ellsworth Community College,,IA,
hawkeye-community-college-ia,Hawkeye Community College,Waterloo,IA,https://www.redtailathletics.com/sports/esports/index
indian-hills-community-college-ia,Indian Hills Community College,,IA,
iowa-central-community-college-ia,Iowa Central Community College,Fort Dodge,IA,https://www.ictritons.com/sports/esports/index
iowa-lakes-community-college-ia,Iowa Lakes Community College,,IA,
iowa-western-community-college-ia,Iowa Western Community College,Council Bluffs,IA,https://www.goreivers.com/sports/esports/index
kirkwood-community-college-ia,Kirkwood Community College,,IA,
marshalltown-community-college-ia,Marshalltown Community College,,IA,
north-iowa-area-community-college-ia,North Iowa Area Community College,,IA,
northeast-iowa-community-college-ia,Northeast Iowa Community College,,IA,
northwest-iowa-community-college-ia,Northwest Iowa Community College,,IA,
southeastern-community-college-ia,Southeastern Community College,,IA,
southwestern-community-college-ia,Southwestern Community College,,IA,
western-iowa-tech-community-college-ia,Western Iowa Tech Community College,,IA,
college-of-eastern-idaho-id,College of Eastern Idaho,,ID,
college-of-southern-idaho-id,College of Southern Idaho,,ID,
college-of-western-idaho-id,College of Western Idaho,,ID,
north-idaho-college-id,North Idaho College,,ID,
black-hawk-college-il,Black Hawk College,,IL,
carl-sandburg-college-il,Carl Sandburg College,,IL,
college-of-dupage-il,College of DuPage,Glen Ellyn,IL,https://gochapsgo.com/sports/esports
college-of-lake-county-il,College of Lake County,,IL,
elgin-community-college-il,Elgin Community College,,IL,
harper-college-il,Harper College,,IL,
heartland-community-college-il,Heartland Community College,,IL,
highland-community-college-il,Highland Community College,,IL,
illinois-central-college-il,Illinois Central College,,IL,
illinois-valley-community-college-il,Illinois Valley Community College,,IL,
john-a-logan-college-il,John A. Logan College,,IL,
joliet-junior-college-il,Joliet Junior College,,IL,
kankakee-community-college-il,Kankakee Community College,,IL,
kaskaskia-college-il,Kaskaskia College,,IL,
kishwaukee-college-il,Kishwaukee College,,IL,
lake-land-college-il,Lake Land College,,IL,
lewis-and-clark-community-college-il,Lewis and Clark Community College,,IL,
lincoln-land-community-college-il,Lincoln Land Community College,,IL,
mchenry-county-college-il,McHenry County College,,IL,
moraine-valley-community-college-il,Moraine Valley Community College,,IL,
morton-college-il,Morton College,,IL,
oakton-college-il,Oakton College,,IL,
parkland-college-il,Parkland College,,IL,
prairie-state-college-il,Prairie State College,,IL,
rend-lake-college-il,Rend Lake College,,IL,
richland-community-college-il,Richland Community College,,IL,
rock-valley-college-il,Rock Valley College,,IL,
sauk-valley-community-college-il,Sauk Valley Community College,,IL,
shawnee-community-college-il,Shawnee Community College,,IL,
south-suburban-college-il,South Suburban College,,IL,
southeastern-illinois-college-il,Southeastern Illinois College,,IL,
southwestern-illinois-college-il,Southwestern Illinois College,,IL,
spoon-river-college-il,Spoon River College,,IL,
triton-college-il,Triton College,,IL,
waubonsee-community-college-il,Waubonsee Community College,,IL,
ivy-tech-community-college-in,Ivy Tech Community College,,IN,
vincennes-university-in,Vincennes University,,IN,
allen-community-college-ks,Allen Community College,,KS,
barton-community-college-ks,Barton Community College,Great Bend,KS,https://www.bartonsports.com/sports/esports/index
butler-community-college-ks,Butler Community College,El Dorado,KS,https://www.butlergrizzlies.com/
cloud-county-community-college-ks,Cloud County Community College,,KS,
coffeyville-community-college-ks,Coffeyville Community College,Coffeyville,KS,https://www.redravenathletics.com/
colby-community-college-ks,Colby Community College,,KS,
