Estado,Sigla do Estado,Índice de Custo de Vida,Salário Mínimo por Hora (USD),Ranking Ensino Superior,Breve Descrição (Apelido),Destaque Principal,Ambiente Acadêmico (Geral),Principais Cidades Universitárias,Clima (Geral),Probabilidade de Neve (0-10),Neve Média Anual (polegadas),Notas sobre Neve
Michigan,MI,92.7,10.3,N/C,"Estado dos Grandes Lagos","Centro da indústria automobilística dos EUA (Detroit) e cercado por lagos.","Forte em pesquisa e engenharia (universidades públicas grandes como UMich).","Ann Arbor, East Lansing","4 estações definidas. Verões quentes e úmidos; invernos muito frios.",10,60.7,"Alta neve, até 115 na Península Superior"
Maine,ME,111.5,14.2,N/C,"Estado do Pinheiro","Famoso pelas paisagens naturais, florestas densas e lagostas.","Foco em artes liberais e biologia marinha; ambiente tranquilo.","Brunswick, Orono, Lewiston","Verões amenos e agradáveis; invernos muito frios e rigorosos.",10,64.1,"Alta neve, especialmente no norte"
Vermont,VT,114.5,13.7,N/C,"Estado da Montanha Verde","Conhecido pela natureza, laticínios (Ben & Jerry's) e cenários de outono.","Ambiente progressista, focado em sustentabilidade e artes liberais.","Burlington","4 estações definidas. Verões amenos; invernos muito frios e rigorosos.",10,71.0,"Alta neve, especialmente nas Green Mountains"
Alaska,AK,124.4,11.7,N/C,"A Última Fronteira","Estado de natureza selvagem, petróleo, geleiras e vastas áreas inexploradas.","Especializado em ciências naturais, biologia e engenharia (petróleo).","Fairbanks, Anchorage","Ártico/Subártico. Verões curtos e frescos; invernos longos e extremos.",10,74.5,"Alta neve, até 150 em áreas montanhosas"
New Hampshire,NH,115.0,7.3,N/C,"Estado do Granito","Conhecido por sua independência ('Live Free or Die') e por sediar as primeiras primárias presidenciais.","Mistura de elite privada (Dartmouth) e boas universidades estaduais.","Hanover, Durham","4 estações definidas. Verões quentes e úmidos; invernos frios e rigorosos.",9.9,60.0,Alta neve
New York,NY,125.1,15.0,16,"O Estado do Império","Centro financeiro (Wall St) e cultural (NYC) global. Muito diverso.","Extremamente diverso: da elite urbana (NYU, Columbia) a um sistema público gigante (SUNY).","New York City, Ithaca, Rochester","Continental úmido. Verões quentes e úmidos; invernos muito frios.",9.1,55.3,"Alta neve, especialmente em Rochester/Buffalo"
Wyoming,WY,92.8,7.3,4,"Estado da Igualdade","Famoso por parques nacionais (Yellowstone) e vastas planícies. Baixa população.","Focado na universidade estadual (U. Wyoming), forte em agro e energia.","Laramie","Semiárido e continental. Ventoso; verões quentes, invernos frios.",8.4,51.0,"Alta neve, varia por região"
Massachusetts,MA,148.4,15.0,N/C,"Estado da Baía","Referência mundial em educação superior (Harvard, MIT) e história americana.","O polo acadêmico mais competitivo e focado em pesquisa do mundo (Harvard, MIT).","Boston, Cambridge","4 estações definidas. Verões quentes e úmidos; invernos frios e com neve.",8.4,51.0,"Alta neve, especialmente no oeste (até 77,1)"
Wisconsin,WI,95.0,10.0,17,"Estado do Texugo","Conhecido como 'Terra do Laticínio' (queijos) e suas cervejarias.","Grandes universidades públicas (Madison), forte em pesquisa e vida social.","Madison","Continental. Verões quentes; invernos muito frios e com neve.",7.5,45.8,"Alta neve, especialmente perto do Lago Superior (até 97,7)"
Minnesota,MN,94.1,10.6,N/C,"Terra dos 10.000 Lagos","Referência em qualidade de vida e saúde (Mayo Clinic). Invernos rigorosos.","Sistema público de alta qualidade (U. Minnesota), forte em saúde e engenharia.","Minneapolis-St. Paul","Continental. Verões quentes; invernos extremos e muito frios.",7.2,44.0,"Alta neve, especialmente no norte"
Utah,UT,97.6,7.3,6,"Estado da Colmeia","Centro da cultura Mórmon e famoso pelos 5 grandes parques nacionais (cânions).","Influenciado pela BYU (privada, conservadora) e U. of Utah (pesquisa pública).","Provo, Salt Lake City","Clima árido/desértico. Verões muito quentes e secos; invernos frios.",6.8,41.0,"Neve significativa, mais em áreas montanhosas"
Colorado,CO,100.7,14.4,5,"Estado Centenário","Referência para amantes de atividades ao ar livre e esqui (Montanhas Rochosas).","Focado em engenharia e ciências (Boulder), atrai estudantes com estilo de vida ativo.","Boulder, Fort Collins, Denver","Clima de montanha e semiárido. Sol o ano todo; verões quentes, invernos frios.",6.8,41.0,"Neve significativa, até 75,8 em picos"
South Dakota,SD,88.7,7.3,8,"Estado do Monte Rushmore","Famoso pelo Monte Rushmore e pela cultura das planícies nativas americanas.","Universidades públicas menores, foco em agricultura e engenharia.","Brookings, Vermillion","Continental. Verões quentes (às vezes extremos); invernos rigorosos.",6.2,37.4,Neve significativa
North Dakota,ND,89.0,7.3,18,"Estado do Jardim da Paz","Grande produtor agrícola e, mais recentemente, de petróleo (fracking).","Foco em agricultura, energia (petróleo) e engenharia (U. North Dakota).","Fargo, Grand Forks","Continental. Verões quentes; invernos extremos e muito frios.",6.1,37.0,Neve significativa
