id,nome,sigla,custo,salario,prob_neve,neve_media,destaque,ambiente_academico,densidade_pop,acesso_natureza,clima,custo_visual,transporte_publico,roupa_ideal,vibe_social,sotaque,fuso_horario
AL,Alabama,AL,88.1,7.25,0,0.5,"História dos Direitos Civis, Futebol Americano","Engenharia e Medicina (UAB)",38,7,"Subtropical úmido. Verões quentes.",Baixo,Inexistente (Precisa de Carro),Verão/Leve,"Futebol Americano e Tradição","Sulista Forte (Desafiador)",Central
AK,Alaska,AK,126.6,10.34,10,74.5,"Aurora Boreal, Vida Selvagem, Glaciares","Ciências Naturais, Geologia",0.5,10,"Polar/Subártico. Invernos extremos.",Alto,Precário (Precisa de Carro),Térmica/Sobrevivência,"Aventura Selvagem e Isolamento",Neutro,Alaska
AZ,Arizona,AZ,103.2,14.35,1,0.3,"Grand Canyon, Desertos","Inovação (ASU), Astronomia",24,9,"Desértico. Verões extremamente quentes.",Médio,Ruim (Carro Essencial),Leve e Protetor Solar,"Grand Canyon e Vida Universitária",Neutro,Mountain
AR,Arkansas,AR,90.9,11.00,2,3.8,"Montanhas Ozark, Walmart HQ","Agricultura, Negócios",22,8,"Subtropical úmido. Estações distintas.",Baixo,Inexistente (Precisa de Carro),Meia-estação,"Natureza e Vida Pacata",Sulista Forte,Central
CA,California,CA,149.9,16.00,2,0.0,"Tech (Vale do Silício), Hollywood, Praias","Pesquisa de Ponta (Stanford/UCs)",100,9,"Mediterrâneo na costa. Variado.",Muito Alto,"Bom em SF/LA (Carro no resto)","Estilosa e Variada","Tech, Praias e Fama","Neutro/""Valley Girl""",Pacific
CO,Colorado,CO,105.3,14.42,9,67.3,"Esqui, Montanhas Rochosas, Cervejarias","Geologia, Física Atmosférica",21,10,"Alpino/Semiárido. Invernos com neve.",Alto,Médio (Denver tem VLT),Inverno Pesado e Óculos de Sol,"Fit, Cervejarias e Outdoor",Neutro/Claro,Mountain
CT,Connecticut,CT,116.8,15.69,8,37.0,"Yale, História Colonial, Seguros","Elite Acadêmica (Yale), Direito",286,6,"Continental úmido. Invernos frios.",Alto,"Bom (Perto de NY/Trens)",Inverno Elegante,"Elite Intelectual e Histórica",Rápido/Nordeste,Eastern
DE,Delaware,DE,107.9,13.25,4,20.2,"Praias, Paraíso Fiscal Corporativo","Química, Negócios (UDel)",196,6,"Oceânico moderado. Úmido.",Alto,Médio (Carro Recomendado),Meia-estação/Vento,"Corporativo e Praias Locais",Neutro,Eastern
FL,Florida,FL,102.8,13.00,0,0.0,"Disney, Praias, Aposentadoria","Hospitalidade, Biologia Marinha",160,8,"Tropical/Subtropical. Furacões.",Médio,Ruim (Carro Essencial),Roupa de Banho/Leve,"Festas, Latinos e Parques",Misto (Latino/Sulista),Eastern
GA,Georgia,GA,88.8,7.25,1,0.7,"Coca-Cola, CNN, Pêssegos","Tecnologia (GA Tech), Medicina",71,7,"Subtropical úmido. Verões quentes.",Baixo,Ruim (Exceto Atlanta),Verão Quente,"Urbano (Atlanta) e Tradição Sulista",Sulista Melódico,Eastern
HI,Hawaii,HI,193.3,14.00,0,0.0,"Surf, Vulcões, Cultura Polinésia","Oceanografia, Astronomia",86,10,"Tropical. Agradável o ano todo.",Muito Alto,Médio (Ônibus/Bikes),Chinelo e Bermuda,"Surf, Relax e Aloha Spirit",Pidgin/Local,Hawaii-Aleutian
